Image_ID,Address,zs_dominant,yolo_dominant,yolo_status,comparable,dominant_agreement,l1_distance
1322 E HEWSON ST,1322 E HEWSON ST,Vinyl,Stucco,success,yes,no,1.0
1322 E MONTGOMERY AVE,1322 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1322 E OXFORD ST,1322 E OXFORD ST,Brick,Stucco,success,yes,no,0.667
1322 E SUSQUEHANNA AVE,1322 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1322 MARLBOROUGH ST,1322 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1322-24 E EYRE ST,1322-24 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1323 CREASE ST,1323 CREASE ST,Brick,Aluminum Composite,success,yes,no,1.0
1323 E EYRE ST,1323 E EYRE ST,Stucco,Fibercement,success,yes,no,0.802
1323 E HEWSON ST,1323 E HEWSON ST,Stucco,Fibercement,success,yes,no,0.511
1323 E MONTGOMERY AVE,1323 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1323 E OXFORD ST,1323 E OXFORD ST,Brick,Stucco,success,yes,no,0.667
1323 E PALMER ST,1323 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1323 E SUSQUEHANNA AVE,1323 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1323 MARLBOROUGH ST,1323 MARLBOROUGH ST,Brick,Stucco,success,yes,no,1.0
1324 CREASE ST,1324 CREASE ST,Brick,Brick,success,yes,yes,0.0
1324 E BERKS ST,1324 E BERKS ST,Brick,Brick,success,yes,yes,0.133
1324 E COLUMBIA AVE,1324 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1324 E HEWSON ST,1324 E HEWSON ST,Brick,Brick,success,yes,yes,0.236
1324 E MONTGOMERY AVE,1324 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1324 E OXFORD ST,1324 E OXFORD ST,Brick,Stucco,success,yes,no,1.0
1324 E SUSQUEHANNA AVE,1324 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1324 MARLBOROUGH ST,1324 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1325 BEACH ST,1325 BEACH ST,Decorative stone,Stucco,success,yes,no,1.0
1325 CREASE ST,1325 CREASE ST,Brick,Aluminum Composite,success,yes,no,1.0
1325 E BERKS ST,1325 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1325 E EYRE ST,1325 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1325 E HEWSON ST,1325 E HEWSON ST,Brick,Brick,success,yes,yes,0.197
1325 E MONTGOMERY AVE,1325 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1325 E OXFORD ST,1325 E OXFORD ST,Brick,Stucco,success,yes,no,1.0
1325 E SUSQUEHANNA AVE,1325 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1325 FRANKFORD AVE,1325 FRANKFORD AVE,Aluminum Composite,Stucco,success,yes,no,1.0
1325 MARLBOROUGH ST,1325 MARLBOROUGH ST,Brick,Stucco,success,yes,no,1.0
1325-27 E PALMER ST,1325-27 E PALMER ST,Brick,Brick,success,yes,yes,0.333
1326 E BERKS ST,1326 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1326 E COLUMBIA AVE,1326 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1326 E EYRE ST,1326 E EYRE ST,Brick,Brick,success,yes,yes,0.046
1326 E HEWSON ST,1326 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1326 E MONTGOMERY AVE,1326 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1326 E OXFORD ST,1326 E OXFORD ST,Brick,Stucco,success,yes,no,1.0
1326 E SUSQUEHANNA AVE,1326 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1326 MARLBOROUGH ST,1326 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1327 CREASE ST,1327 CREASE ST,Brick,Fibercement,success,yes,no,1.0
1327 E BERKS ST,1327 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1327 E EYRE ST,1327 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1327 E MONTGOMERY AVE,1327 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1327 E OXFORD ST,1327 E OXFORD ST,Brick,Stucco,success,yes,no,1.0
1327 E SUSQUEHANNA AVE,1327 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1327 MARLBOROUGH ST,1327 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1328 E COLUMBIA AVE,1328 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.054
1328 E EYRE ST,1328 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1328 E HEWSON ST,1328 E HEWSON ST,Vinyl,Vinyl,success,yes,yes,0.238
1328 E MONTGOMERY AVE,1328 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1328 E OXFORD ST,1328 E OXFORD ST,Brick,Fibercement,success,yes,no,1.0
1328 E SUSQUEHANNA AVE,1328 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1328 MARLBOROUGH ST,1328 MARLBOROUGH ST,Brick,Stucco,success,yes,no,1.0
1329 CREASE ST,1329 CREASE ST,Brick,Brick,success,yes,yes,0.0
1329 E BERKS ST,1329 E BERKS ST,Brick,Vinyl,success,yes,no,0.667
1329 E EYRE ST,1329 E EYRE ST,Brick,Vinyl,success,yes,no,0.667
1329 E HEWSON ST,1329 E HEWSON ST,Brick,Brick,success,yes,yes,0.334
1329 E OXFORD ST,1329 E OXFORD ST,Brick,Stucco,success,yes,no,1.0
1329 E PALMER ST,1329 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1329 E SUSQUEHANNA AVE,1329 E SUSQUEHANNA AVE,Brick,Stucco,success,yes,no,0.279
1329 MARLBOROUGH ST,1329 MARLBOROUGH ST,Stucco,Brick,success,yes,no,1.0
1329 N FRONT ST,1329 N FRONT ST,Brick,Brick,success,yes,yes,0.0
133 E ALLEN ST,133 E ALLEN ST,Stucco,Stucco,success,yes,yes,0.333
1330 E BERKS ST,1330 E BERKS ST,Vinyl,Metal,success,yes,no,1.0
1330 E COLUMBIA AVE,1330 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1330 E EYRE ST,1330 E EYRE ST,Brick,Brick,success,yes,yes,0.25
1330 E HEWSON ST,1330 E HEWSON ST,Vinyl,Vinyl,success,yes,yes,0.072
1330 E MONTGOMERY AVE,1330 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1330 E OXFORD ST,1330 E OXFORD ST,Vinyl,Vinyl,success,yes,yes,0.0
1330 E SUSQUEHANNA AVE,1330 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1330 MARLBOROUGH ST,1330 MARLBOROUGH ST,Brick,Stucco,success,yes,no,1.0
1331 CREASE ST,1331 CREASE ST,Brick,Brick,success,yes,yes,0.333
1331 E BERKS ST,1331 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1331 E HEWSON ST,1331 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1331 E OXFORD ST,1331 E OXFORD ST,Brick,Fibercement,success,yes,no,1.0
1331 E PALMER ST,1331 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1331 E SUSQUEHANNA AVE,1331 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.333
1331 MARLBOROUGH ST,1331 MARLBOROUGH ST,Stucco,Brick,success,yes,no,0.667
1331 N FRONT ST,1331 N FRONT ST,Brick,Brick,success,yes,yes,0.0
1331-33 FRANKFORD AVE,1331-33 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1332 E COLUMBIA AVE,1332 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1332 E EYRE ST,1332 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1332 E HEWSON ST,1332 E HEWSON ST,Vinyl,Brick,success,yes,no,0.309
1332 E MONTGOMERY AVE,1332 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1332 E OXFORD ST,1332 E OXFORD ST,Vinyl,Vinyl,success,yes,yes,0.0
1332 E PALMER ST,1332 E PALMER ST,Brick,Brick,success,yes,yes,0.333
1332 E SUSQUEHANNA AVE,1332 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.333
1332 EARL ST,1332 EARL ST,Brick,Brick,success,yes,yes,0.0
1332 MARLBOROUGH ST,1332 MARLBOROUGH ST,Brick,Stucco,success,yes,no,1.0
1332-34 E BERKS ST,1332-34 E BERKS ST,Vinyl,Fibercement,success,yes,no,1.0
1333 CREASE ST,1333 CREASE ST,Brick,Brick,success,yes,yes,0.0
1333 E BERKS ST,1333 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1333 E HEWSON ST,1333 E HEWSON ST,Brick,Brick,success,yes,yes,0.439
1333 E OXFORD ST,1333 E OXFORD ST,Brick,Fibercement,success,yes,no,1.0
1333 E PALMER ST,1333 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1333 E SUSQUEHANNA AVE,1333 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1333 MARLBOROUGH ST,1333 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1333-37 N FRONT ST,1333-37 N FRONT ST,Brick,Vinyl,success,yes,no,0.639
1334 E COLUMBIA AVE,1334 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1334 E EYRE ST,1334 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1334 E HEWSON ST,1334 E HEWSON ST,Brick,Vinyl,success,yes,no,0.5
1334 E MONTGOMERY AVE,1334 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1334 E OXFORD ST,1334 E OXFORD ST,Vinyl,Vinyl,success,yes,yes,0.0
1334 E PALMER ST,1334 E PALMER ST,Stucco,Unknown,no_materials_found,no,,
1334 E SUSQUEHANNA AVE,1334 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.059
1334 EARL ST,1334 EARL ST,Stucco,Stucco,success,yes,yes,0.4565
1334 MARLBOROUGH ST,1334 MARLBOROUGH ST,Stucco,Brick,success,yes,no,1.0
1334-76 BEACH ST,1334-76 BEACH ST,Brick,Metal,success,yes,no,0.735
1335 CREASE ST,1335 CREASE ST,Brick,Brick,success,yes,yes,0.0
1335 E BERKS ST,1335 E BERKS ST,Brick,Brick,success,yes,yes,0.5
1335 E HEWSON ST,1335 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1335 E OXFORD ST,1335 E OXFORD ST,Vinyl,Vinyl,success,yes,yes,0.0
1335 E PALMER ST,1335 E PALMER ST,Brick,Brick,success,yes,yes,0.01
1335 MARLBOROUGH ST,1335 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1335-37 FRANKFORD AVE,1335-37 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1336 E BERKS ST,1336 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1336 E COLUMBIA AVE,1336 E COLUMBIA AVE,Brick,Stucco,success,yes,no,0.667
1336 E EYRE ST,1336 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1336 E HEWSON ST,1336 E HEWSON ST,Vinyl,Brick,success,yes,no,0.367
1336 E MONTGOMERY AVE,1336 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1336 E OXFORD ST,1336 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1336 E PALMER ST,1336 E PALMER ST,Stucco,Unknown,no_materials_found,no,,
1336 E SUSQUEHANNA AVE,1336 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.25
1336 EARL ST,1336 EARL ST,Stucco,Stucco,success,yes,yes,0.1355
1336 MARLBOROUGH ST,1336 MARLBOROUGH ST,Stucco,Brick,success,yes,no,1.0
1337 CREASE ST,1337 CREASE ST,Brick,Brick,success,yes,yes,0.0
1337 E BERKS ST,1337 E BERKS ST,Fibercement,Fibercement,success,yes,yes,0.18
1337 E EYRE ST,1337 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1337 E HEWSON ST,1337 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1337 E OXFORD ST,1337 E OXFORD ST,Vinyl,Vinyl,success,yes,yes,0.0
1337 E PALMER ST,1337 E PALMER ST,Brick,Stucco,success,yes,no,1.0
1337 EARL ST,1337 EARL ST,Stucco,Unknown,no_detections,no,,
1337 MARLBOROUGH ST,1337 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1337-39 E MONTGOMERY AVE,1337-39 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.25
1338 E BERKS ST,1338 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1338 E COLUMBIA AVE,1338 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1338 E EYRE ST,1338 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1338 E HEWSON ST,1338 E HEWSON ST,Vinyl,Brick,success,yes,no,0.334
1338 E MONTGOMERY AVE,1338 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1338 E OXFORD ST,1338 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1338 EARL ST,1338 EARL ST,Vinyl,Metal,success,yes,no,0.667
1338 MARLBOROUGH ST,1338 MARLBOROUGH ST,Stucco,Brick,success,yes,no,1.0
1338-40 E SUSQUEHANNA AVE,1338-40 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.333
1339 CREASE ST,1339 CREASE ST,Brick,Brick,success,yes,yes,0.0
1339 E BERKS ST,1339 E BERKS ST,Brick,Metal,success,yes,no,0.667
1339 E EYRE ST,1339 E EYRE ST,Brick,Decorative stone,success,yes,no,0.716
1339 E OXFORD ST,1339 E OXFORD ST,Vinyl,Vinyl,success,yes,yes,0.0
1339 E PALMER ST,1339 E PALMER ST,Vinyl,Vinyl,success,yes,yes,0.0
1339 EARL ST,1339 EARL ST,Brick,Metal,success,yes,no,0.869
1339 FRANKFORD AVE,1339 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1339 MARLBOROUGH ST,1339 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1339-41 N FRONT ST,1339-41 N FRONT ST,Brick,Brick,success,yes,yes,0.333
1340 E COLUMBIA AVE,1340 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1340 E EYRE ST,1340 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1340 E HEWSON ST,1340 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1340 E MONTGOMERY AVE,1340 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.25
1340 E OXFORD ST,1340 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1340 MARLBOROUGH ST,1340 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1340-52 FRANKFORD AVE,1340-52 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1341 CREASE ST,1341 CREASE ST,Brick,Brick,success,yes,yes,0.0
1341 E BERKS ST,1341 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1341 E COLUMBIA AVE,1341 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1341 E EYRE ST,1341 E EYRE ST,Brick,Decorative stone,success,yes,no,1.0
1341 E HEWSON ST,1341 E HEWSON ST,Brick,Brick,success,yes,yes,0.282
1341 E MONTGOMERY AVE,1341 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.25
1341 E OXFORD ST,1341 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1341 E PALMER ST,1341 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1341 EARL ST,1341 EARL ST,Brick,Metal,success,yes,no,0.869
1341 MARLBOROUGH ST,1341 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1341-49 FRANKFORD AVE,1341-49 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1342 CREASE ST,1342 CREASE ST,Metal,Brick,success,yes,no,0.38
1342 E COLUMBIA AVE,1342 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1342 E EYRE ST,1342 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1342 E HEWSON ST,1342 E HEWSON ST,Vinyl,Brick,success,yes,no,0.381
1342 E MONTGOMERY AVE,1342 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1342 E OXFORD ST,1342 E OXFORD ST,Stucco,Brick,success,yes,no,0.667
1342 E SUSQUEHANNA AVE,1342 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1342 MARLBOROUGH ST,1342 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1343 CREASE ST,1343 CREASE ST,Brick,Brick,success,yes,yes,0.0
1343 E BERKS ST,1343 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1343 E COLUMBIA AVE,1343 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.26
1343 E HEWSON ST,1343 E HEWSON ST,Brick,Brick,success,yes,yes,0.254
1343 E PALMER ST,1343 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1343 EARL ST,1343 EARL ST,Fibercement,Brick,success,yes,no,0.667
1343 MARLBOROUGH ST,1343 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1343-45 N FRONT ST,1343-45 N FRONT ST,Brick,Brick,success,yes,yes,0.0
1343-47 N DELAWARE AVE,1343-47 N DELAWARE AVE,Brick,Brick,success,yes,yes,0.0
1344 CREASE ST,1344 CREASE ST,Brick,Brick,success,yes,yes,0.175
1344 E COLUMBIA AVE,1344 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1344 E EYRE ST,1344 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1344 E HEWSON ST,1344 E HEWSON ST,Brick,Brick,success,yes,yes,0.219
1344 E MONTGOMERY AVE,1344 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1344 E OXFORD ST,1344 E OXFORD ST,Stucco,Unknown,no_materials_found,no,,
1344 E PALMER ST,1344 E PALMER ST,Brick,Brick,success,yes,yes,0.25
1344 E SUSQUEHANNA AVE,1344 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1344 MARLBOROUGH ST,1344 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1345 CREASE ST,1345 CREASE ST,Brick,Brick,success,yes,yes,0.0
1345 E BERKS ST,1345 E BERKS ST,Metal,Stucco,success,yes,no,1.0
1345 E COLUMBIA AVE,1345 E COLUMBIA AVE,Brick,Vinyl,success,yes,no,0.667
1345 E EYRE ST,1345 E EYRE ST,Brick,Brick,success,yes,yes,0.333
1345 E HEWSON ST,1345 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1345 E MONTGOMERY AVE,1345 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.25
1345 E OXFORD ST,1345 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1345 E PALMER ST,1345 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1345 E SUSQUEHANNA AVE,1345 E SUSQUEHANNA AVE,Brick,Unknown,no_materials_found,no,,
1345 EARL ST,1345 EARL ST,Brick,Brick,success,yes,yes,0.5
1345 MARLBOROUGH ST,1345 MARLBOROUGH ST,Brick,Decorative stone,success,yes,no,0.667
1346 CREASE ST,1346 CREASE ST,Brick,Brick,success,yes,yes,0.186
1346 E COLUMBIA AVE,1346 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1346 E EYRE ST,1346 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1346 E HEWSON ST,1346 E HEWSON ST,Brick,Fibercement,success,yes,no,0.532
1346 E MONTGOMERY AVE,1346 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1346 E OXFORD ST,1346 E OXFORD ST,Stucco,Unknown,no_materials_found,no,,
1346 E SUSQUEHANNA AVE,1346 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1346 MARLBOROUGH ST,1346 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1346-48 E PALMER ST,1346-48 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1347 CREASE ST,1347 CREASE ST,Brick,Brick,success,yes,yes,0.0
1347 E BERKS ST,1347 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1347 E COLUMBIA AVE,1347 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1347 E EYRE ST,1347 E EYRE ST,Brick,Brick,success,yes,yes,0.333
1347 E HEWSON ST,1347 E HEWSON ST,Brick,Brick,success,yes,yes,0.328
1347 E OXFORD ST,1347 E OXFORD ST,Stucco,Brick,success,yes,no,0.667
1347 E PALMER ST,1347 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1347 EARL ST,1347 EARL ST,Stucco,Stucco,success,yes,yes,0.202
1347 MARLBOROUGH ST,1347 MARLBOROUGH ST,Brick,Decorative stone,success,yes,no,0.667
1347-53 E MONTGOMERY AVE,1347-53 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1348 CREASE ST,1348 CREASE ST,Brick,Brick,success,yes,yes,0.066
1348 E COLUMBIA AVE,1348 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1348 E EYRE ST,1348 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1348 E HEWSON ST,1348 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1348 E MONTGOMERY AVE,1348 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1348 E OXFORD ST,1348 E OXFORD ST,Brick,Unknown,no_materials_found,no,,
1348 E SUSQUEHANNA AVE,1348 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.249
1348 MARLBOROUGH ST,1348 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1349 CREASE ST,1349 CREASE ST,Brick,Brick,success,yes,yes,0.0
1349 E BERKS ST,1349 E BERKS ST,Brick,Brick,success,yes,yes,0.237
1349 E COLUMBIA AVE,1349 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1349 E EYRE ST,1349 E EYRE ST,Brick,Brick,success,yes,yes,0.333
1349 E HEWSON ST,1349 E HEWSON ST,Vinyl,Vinyl,success,yes,yes,0.0
1349 E OXFORD ST,1349 E OXFORD ST,Stucco,Brick,success,yes,no,0.667
1349 E PALMER ST,1349 E PALMER ST,Brick,Brick,success,yes,yes,0.25
1349 EARL ST,1349 EARL ST,Stucco,Stucco,success,yes,yes,0.4565
1349 MARLBOROUGH ST,1349 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
135 E ALLEN ST,135 E ALLEN ST,Stucco,Brick,success,yes,no,0.667
135 RICHMOND ST,135 RICHMOND ST,Brick,Brick,success,yes,yes,0.0
1350 CREASE ST,1350 CREASE ST,Metal,Brick,success,yes,no,0.228
1350 E COLUMBIA AVE,1350 E COLUMBIA AVE,Brick,Vinyl,success,yes,no,1.0
1350 E EYRE ST,1350 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1350 E HEWSON ST,1350 E HEWSON ST,Stucco,Stucco,success,yes,yes,0.3875
1350 E MONTGOMERY AVE,1350 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1350 E OXFORD ST,1350 E OXFORD ST,Brick,Brick,success,yes,yes,0.5
1350 E PALMER ST,1350 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1350 E SUSQUEHANNA AVE,1350 E SUSQUEHANNA AVE,Vinyl,Vinyl,success,yes,yes,0.0
1350 MARLBOROUGH ST,1350 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1351 E BERKS ST,1351 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1351 E COLUMBIA AVE,1351 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1351 E EYRE ST,1351 E EYRE ST,Brick,Brick,success,yes,yes,0.333
1351 E HEWSON ST,1351 E HEWSON ST,Vinyl,Vinyl,success,yes,yes,0.0
1351 E OXFORD ST,1351 E OXFORD ST,Brick,Unknown,no_materials_found,no,,
1351 E PALMER ST,1351 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1351 E SUSQUEHANNA AVE,1351 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.5
1351 EARL ST,1351 EARL ST,Vinyl,Metal,success,yes,no,0.667
1351 MARLBOROUGH ST,1351 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1352 CREASE ST,1352 CREASE ST,Metal,Metal,success,yes,yes,0.074
1352 E COLUMBIA AVE,1352 E COLUMBIA AVE,Vinyl,Vinyl,success,yes,yes,0.333
1352 E EYRE ST,1352 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1352 E HEWSON ST,1352 E HEWSON ST,Stucco,Stucco,success,yes,yes,0.169
1352 E OXFORD ST,1352 E OXFORD ST,Brick,Brick,success,yes,yes,0.5
1352 E PALMER ST,1352 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1352 E SUSQUEHANNA AVE,1352 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.333
1352 MARLBOROUGH ST,1352 MARLBOROUGH ST,Brick,Decorative stone,success,yes,no,0.667
1353 E BERKS ST,1353 E BERKS ST,Brick,Brick,success,yes,yes,0.0
1353 E COLUMBIA AVE,1353 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1353 E EYRE ST,1353 E EYRE ST,Brick,Brick,success,yes,yes,0.333
1353 E HEWSON ST,1353 E HEWSON ST,Brick,Brick,success,yes,yes,0.174
1353 E OXFORD ST,1353 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1353 E PALMER ST,1353 E PALMER ST,Brick,Brick,success,yes,yes,0.25
1353 E SUSQUEHANNA AVE,1353 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1353 EARL ST,1353 EARL ST,Brick,Brick,success,yes,yes,0.5
1353 MARLBOROUGH ST,1353 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1353 N FRONT ST,1353 N FRONT ST,Brick,Unknown,no_materials_found,no,,
1354 CREASE ST,1354 CREASE ST,Metal,Brick,success,yes,no,0.477
1354 E BERKS ST,1354 E BERKS ST,Brick,Stucco,success,yes,no,1.0
1354 E COLUMBIA AVE,1354 E COLUMBIA AVE,Vinyl,Vinyl,success,yes,yes,0.333
1354 E PALMER ST,1354 E PALMER ST,Brick,Brick,success,yes,yes,0.25
1354 E SUSQUEHANNA AVE,1354 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1354 MARLBOROUGH ST,1354 MARLBOROUGH ST,Brick,Decorative stone,success,yes,no,0.667
1354 N FRONT ST,1354 N FRONT ST,Vinyl,Brick,success,yes,no,1.0
1355 E BERKS ST,1355 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1355 E COLUMBIA AVE,1355 E COLUMBIA AVE,Stucco,Stucco,success,yes,yes,0.139
1355 E HEWSON ST,1355 E HEWSON ST,Brick,Decorative stone,success,yes,no,1.0
1355 E MONTGOMERY AVE,1355 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1355 E OXFORD ST,1355 E OXFORD ST,Brick,Brick,success,yes,yes,0.5
1355 E SUSQUEHANNA AVE,1355 E SUSQUEHANNA AVE,Brick,Stucco,success,yes,no,1.0
1355 MARLBOROUGH ST,1355 MARLBOROUGH ST,Metal,Brick,success,yes,no,0.667
1355 N FRONT ST,1355 N FRONT ST,Brick,Unknown,no_materials_found,no,,
1355-57 E PALMER ST,1355-57 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1356 CREASE ST,1356 CREASE ST,Brick,Metal,success,yes,no,0.113
